Time_stamp,IBI
1603462577.953125,0.921875
1603462578.859375,0.906250
1603462579.765625,0.906250
1603462584.34375,0.781250
1603462585.15625,0.812500
1603462585.984375,0.828125
1603462586.890625,0.906250
1603462587.828125,0.937500
1603462588.75,0.921875
1603462589.734375,0.984375
1603462590.734375,1.000000
1603462591.765625,1.031250
1603462592.78125,1.015625
1603462593.78125,1.000000
1603462594.78125,1.000000
1603462595.765625,0.984375
1603462596.75,0.984375
1603462597.71875,0.968750
1603462598.625,0.906250
1603462599.484375,0.859375
1603462600.328125,0.843750
1603462601.15625,0.828125
1603462607.890625,0.843750
1603462608.8125,0.921875
1603462609.78125,0.968750
1603462610.75,0.968750
1603462611.71875,0.968750
1603462612.71875,1.000000
1603462613.671875,0.953125
1603462614.578125,0.906250
1603462615.390625,0.812500
1603462616.203125,0.812500
1603462617.0625,0.859375
1603462617.953125,0.890625
1603462618.8125,0.859375
1603462619.625,0.812500
1603462620.390625,0.765625
1603462621.140625,0.750000
1603462621.875,0.734375
1603462622.734375,0.859375
1603462623.6875,0.953125
1603462624.609375,0.921875
1603462625.5625,0.953125
1603462626.53125,0.968750
1603462627.53125,1.000000
1603462628.484375,0.953125
1603462629.390625,0.906250
1603462630.25,0.859375
1603462631.078125,0.828125
1603462631.90625,0.828125
1603462632.75,0.843750
1603462633.625,0.875000
1603462634.515625,0.890625
1603462635.546875,1.031250
1603462636.625,1.078125
1603462637.703125,1.078125
1603462638.71875,1.015625
1603462639.703125,0.984375
1603462640.671875,0.968750
1603462641.640625,0.968750
1603462642.578125,0.937500
1603462643.484375,0.906250
1603462644.328125,0.843750
1603462645.09375,0.765625
1603462645.828125,0.734375
1603462646.609375,0.781250
1603462647.46875,0.859375
1603462648.34375,0.875000
1603462649.328125,0.984375
1603462650.34375,1.015625
1603462651.40625,1.062500
1603462652.40625,1.000000
1603462653.390625,0.984375
1603462654.40625,1.015625
1603462655.40625,1.000000
1603462656.390625,0.984375
1603462657.359375,0.968750
1603462658.34375,0.984375
1603462659.34375,1.000000
1603462660.34375,1.000000
1603462661.328125,0.984375
1603462662.28125,0.953125
1603462663.328125,1.046875
1603462664.34375,1.015625
1603462665.3125,0.968750
1603462666.28125,0.968750
1603462667.25,0.968750
1603462668.265625,1.015625
1603462669.328125,1.062500
1603462670.390625,1.062500
1603462671.40625,1.015625
1603462672.40625,1.000000
1603462673.390625,0.984375
1603462674.390625,1.000000
1603462675.359375,0.968750
1603462676.3125,0.953125
1603462677.25,0.937500
1603462678.203125,0.953125
1603462679.171875,0.968750
1603462680.140625,0.968750
1603462681.109375,0.968750
1603462682.109375,1.000000
1603462683.125,1.015625
1603462684.15625,1.031250
1603462685.125,0.968750
1603462686.125,1.000000
1603462687.140625,1.015625
1603462688.1875,1.046875
1603462689.21875,1.031250
1603462690.25,1.031250
1603462691.296875,1.046875
1603462692.34375,1.046875
1603462693.328125,0.984375
1603462694.3125,0.984375
1603462695.296875,0.984375
1603462696.265625,0.968750
1603462697.234375,0.968750
1603462698.1875,0.953125
1603462699.1875,1.000000
1603462700.203125,1.015625
1603462701.203125,1.000000
1603462702.171875,0.968750
1603462703.1875,1.015625
1603462704.1875,1.000000
1603462705.15625,0.968750
1603462706.109375,0.953125
1603462707.078125,0.968750
1603462708.0625,0.984375
1603462709.046875,0.984375
1603462710.03125,0.984375
1603462710.984375,0.953125
1603462711.96875,0.984375
1603462712.96875,1.000000
1603462713.921875,0.953125
1603462714.859375,0.937500
1603462715.8125,0.953125
1603462716.765625,0.953125
1603462717.734375,0.968750
1603462718.671875,0.937500
1603462719.625,0.953125
1603462720.59375,0.968750
1603462721.53125,0.937500
1603462722.453125,0.921875
1603462723.390625,0.937500
1603462724.34375,0.953125
1603462725.3125,0.968750
1603462726.25,0.937500
1603462727.21875,0.968750
1603462728.203125,0.984375
1603462729.171875,0.968750
1603462730.15625,0.984375
1603462731.140625,0.984375
1603462732.15625,1.015625
1603462733.1875,1.031250
1603462734.203125,1.015625
1603462735.203125,1.000000
1603462736.234375,1.031250
1603462737.25,1.015625
1603462738.203125,0.953125
1603462739.1875,0.984375
1603462740.171875,0.984375
1603462741.1875,1.015625
1603462742.1875,1.000000
1603462743.171875,0.984375
1603462744.140625,0.968750
1603462745.078125,0.937500
1603462746.015625,0.937500
1603462746.984375,0.968750
1603462747.953125,0.968750
1603462748.875,0.921875
1603462749.8125,0.937500
1603462750.78125,0.968750
1603462751.734375,0.953125
1603462752.65625,0.921875
1603462753.59375,0.937500
1603462754.515625,0.921875
1603462755.46875,0.953125
1603462756.40625,0.937500
1603462757.359375,0.953125
1603462758.328125,0.968750
1603462759.34375,1.015625
1603462760.328125,0.984375
1603462761.28125,0.953125
1603462762.25,0.968750
1603462763.21875,0.968750
1603462764.171875,0.953125
1603462765.140625,0.968750
1603462766.125,0.984375
1603462767.125,1.000000
1603462768.09375,0.968750
1603462769.0625,0.968750
1603462770.03125,0.968750
1603462771.0,0.968750
1603462771.953125,0.953125
1603462772.890625,0.937500
1603462773.828125,0.937500
1603462774.765625,0.937500
1603462775.671875,0.906250
1603462776.5625,0.890625
1603462777.5,0.937500
1603462778.46875,0.968750
1603462779.4375,0.968750
1603462780.390625,0.953125
1603462781.359375,0.968750
1603462782.328125,0.968750
1603462783.296875,0.968750
1603462784.21875,0.921875
1603462785.140625,0.921875
1603462786.078125,0.937500
1603462787.015625,0.937500
1603462787.921875,0.906250
1603462788.84375,0.921875
1603462789.8125,0.968750
1603462790.796875,0.984375
1603462791.75,0.953125
1603462792.671875,0.921875
1603462793.609375,0.937500
1603462794.53125,0.921875
1603462795.421875,0.890625
1603462796.34375,0.921875
1603462797.3125,0.968750
1603462798.28125,0.968750
1603462799.203125,0.921875
1603462800.125,0.921875
1603462801.015625,0.890625
1603462801.859375,0.843750
1603462802.671875,0.812500
1603462803.4375,0.765625
1603462804.203125,0.765625
1603462805.046875,0.843750
1603462805.875,0.828125
1603462806.75,0.875000
1603462807.65625,0.906250
1603462808.578125,0.921875
1603462809.5,0.921875
1603462810.390625,0.890625
1603462811.28125,0.890625
1603462812.1875,0.906250
1603462813.0625,0.875000
1603462813.90625,0.843750
1603462814.765625,0.859375
1603462815.65625,0.890625
1603462816.5625,0.906250
1603462817.4375,0.875000
1603462818.359375,0.921875
1603462819.3125,0.953125
1603462820.265625,0.953125
1603462821.203125,0.937500
1603462822.125,0.921875
1603462823.0625,0.937500
1603462824.015625,0.953125
1603462824.984375,0.968750
1603462825.90625,0.921875
1603462826.828125,0.921875
1603462827.78125,0.953125
1603462828.78125,1.000000
1603462829.796875,1.015625
1603462830.796875,1.000000
1603462831.734375,0.937500
1603462832.65625,0.921875
1603462833.5625,0.906250
1603462834.46875,0.906250
1603462835.390625,0.921875
1603462836.34375,0.953125
1603462837.296875,0.953125
1603462838.234375,0.937500
1603462839.171875,0.937500
1603462840.125,0.953125
1603462841.015625,0.890625
1603462841.875,0.859375
1603462842.6875,0.812500
1603462843.4375,0.750000
1603462844.21875,0.781250
1603462845.0,0.781250
1603462845.875,0.875000
1603462846.78125,0.906250
1603462847.71875,0.937500
1603462848.671875,0.953125
1603462849.59375,0.921875
1603462850.546875,0.953125
1603462851.46875,0.921875
1603462852.390625,0.921875
1603462853.234375,0.843750
1603462854.109375,0.875000
1603462854.984375,0.875000
1603462855.890625,0.906250
1603462856.71875,0.828125
1603462857.609375,0.890625
1603462858.53125,0.921875
1603462859.515625,0.984375
1603462860.484375,0.968750
1603462861.453125,0.968750
1603462862.390625,0.937500
1603462863.296875,0.906250
1603462864.234375,0.937500
1603462865.1875,0.953125
1603462866.125,0.937500
1603462867.046875,0.921875
1603462867.96875,0.921875
1603462868.875,0.906250
1603462869.734375,0.859375
1603462870.609375,0.875000
1603462871.5,0.890625
1603462872.40625,0.906250
1603462873.28125,0.875000
1603462874.171875,0.890625
1603462875.03125,0.859375
1603462875.859375,0.828125
1603462876.65625,0.796875
1603462877.40625,0.750000
1603462878.140625,0.734375
1603462878.875,0.734375
1603462879.671875,0.796875
1603462880.515625,0.843750
1603462881.4375,0.921875
1603462882.3125,0.875000
1603462883.21875,0.906250
1603462884.140625,0.921875
1603462885.0625,0.921875
1603462885.984375,0.921875
1603462886.890625,0.906250
1603462887.78125,0.890625
1603462888.6875,0.906250
1603462889.609375,0.921875
1603462890.53125,0.921875
1603462891.46875,0.937500
1603462892.421875,0.953125
1603462893.421875,1.000000
1603462894.421875,1.000000
1603462895.375,0.953125
